ปีการศึกษา,คณะ,สาขา,นักศึกษาทั้งหมด,ลงทะเบียน,สอบผ่าน
2565,วิทยาศาสตร์และเทคโนโลยี,คณิตศาสตร์,41,0,0
2565,วิทยาศาสตร์และเทคโนโลยี,เคมี,13,10,4
2565,วิทยาศาสตร์และเทคโนโลยี,ชีววิทยา,29,21,14
2565,วิทยาศาสตร์และเทคโนโลยี,เทคโนโลยีสารสนเทศ,25,19,17
2565,วิทยาศาสตร์และเทคโนโลยี,วิทยาการข้อมูล,12,0,0
2565,วิทยาศาสตร์และเทคโนโลยี,วิทยาการคอมพิวเตอร์,39,31,24
2565,วิทยาศาสตร์และเทคโนโลยี,วิทยาศาสตร์สิ่งแวดล้อม,22,19,14
2565,วิทยาศาสตร์และเทคโนโลยี,สาธารณสุขศาสตร์,54,51,30
2565,ครุศาสตร์,การศึกษาปฐมวัย,34,31,24
2565,ครุศาสตร์,การศึกษาปฐมวัย,39,39,31
2565,ครุศาสตร์,การศึกษาพิเศษและภาษาอังกฤษ,21,19,9
2565,ครุศาสตร์,คณิตศาสตร์,61,60,58
2565,ครุศาสตร์,คณิตศาสตร์,39,38,34
2565,ครุศาสตร์,คหกรรมศาสตร์,33,31,8
2565,ครุศาสตร์,คหกรรมศาสตร์,38,35,22
2565,ครุศาสตร์,เคมี,29,28,28
2565,ครุศาสตร์,นวัตกรรมและคอมพิวเตอร์ศึกษา,29,27,24
2565,ครุศาสตร์,นวัตกรรมและคอมพิวเตอร์ศึกษา,38,36,33
2565,ครุศาสตร์,พลศึกษา,33,27,20
2565,ครุศาสตร์,พลศึกษาและวิทยาศาสตร์การกีฬา,36,32,21
2565,ครุศาสตร์,ฟิสิกส์,31,30,26
2565,ครุศาสตร์,ฟิสิกส์,37,36,32
2565,ครุศาสตร์,ภาษาไทย,63,60,47
2565,ครุศาสตร์,ภาษาไทย,37,36,27
2565,ครุศาสตร์,ภาษาอังกฤษ,115,55,51
2565,ครุศาสตร์,ภาษาอังกฤษ,37,36,31
2565,ครุศาสตร์,วิทยาศาสตร์,38,37,31
2565,ครุศาสตร์,วิทยาศาสตร์ทั่วไป,116,54,50
2565,ครุศาสตร์,สังคมศึกษา,123,62,53
2565,ครุศาสตร์,สังคมศึกษา,36,33,25
2565,ครุศาสตร์,อุตสาหกรรมศิลป์,29,26,14
2565,ครุศาสตร์,อุตสาหกรรมศิลป์และเทคโนโลยี,28,23,16
2565,มนุษยศาสตร์และสังคมศาสตร์,การท่องเที่ยว,17,0,0
2565,มนุษยศาสตร์และสังคมศาสตร์,การพัฒนาชุมชน,41,35,15
2565,มนุษยศาสตร์และสังคมศาสตร์,ดนตรี,15,12,1
2565,มนุษยศาสตร์และสังคมศาสตร์,นิติศาสตร์,80,63,44
2565,มนุษยศาสตร์และสังคมศาสตร์,ภาษาไทยเพื่อการสื่อสาร,54,44,20
2565,มนุษยศาสตร์และสังคมศาสตร์,ภาษาอังกฤษ,64,34,22
2565,มนุษยศาสตร์และสังคมศาสตร์,ภาษาอังกฤษเพื่อการสื่อสารทางธุรกิจ,53,48,24
2565,มนุษยศาสตร์และสังคมศาสตร์,รัฐศาสตร์,82,0,0
